id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,shelf_location,is_active,last_updated_at,notes,created_by_id,record_sequence_number,dia_del_mes,dia_de_la_semana,mes,trimestre,es_fin_de_semana,dias_para_vencimiento,antiguedad_producto_dias,ratio_uso_stock,necesita_reorden,product_id_encoded,supplier_id_encoded,warehouse_location_Almacén Este,warehouse_location_Almacén Norte,warehouse_location_Almacén Oeste,warehouse_location_Almacén Sur,warehouse_location_Centro Distribución 1,warehouse_location_Centro Distribución 2,stock_status_1,stock_status_2,stock_status_3
b6165b6a-aed7-4343-ac48-4745eee0d46e,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9801757612916412,0.4509018036072144,0.9495990836197022,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.0845575369956739,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-01,,bae892d8-0f9e-4d43-bdcf-953c592db277,1,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020093238641937,0.0,315,45,False,False,True,False,False,False,False,False,True
4b5ace67-e03d-4de7-b5c7-f0210ecad166,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9746576742284897,0.4509018036072144,0.9444444444444445,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08408663237131031,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-02,,bae892d8-0f9e-4d43-bdcf-953c592db277,2,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020101866709519,0.0,315,45,False,False,True,False,False,False,False,False,True
34ee9ac3-e955-4ae7-bf25-150f98939bb8,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9689352135704067,0.4509018036072144,0.9390988927071402,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08359828683493324,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-03,,bae892d8-0f9e-4d43-bdcf-953c592db277,3,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020110921691053,0.0,315,45,False,False,True,False,False,False,False,False,True
30fc1d63-a1c0-4a42-b23c-726158154be8,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9625996321275292,0.4509018036072144,0.9331806032836961,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08305761856251578,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-04,,bae892d8-0f9e-4d43-bdcf-953c592db277,4,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.702012107676008,0.0,315,45,False,False,True,False,False,False,False,False,True
636c077d-f956-47f4-a294-9dd9bd3188c7,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.955650929899857,0.4509018036072144,0.9266895761741123,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08246462755405792,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-05,,bae892d8-0f9e-4d43-bdcf-953c592db277,5,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020132374780897,0.0,315,45,False,False,True,False,False,False,False,False,True
efe7ec3e-7240-4902-8b0f-fb6a7d6090b8,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9487022276721848,0.4509018036072144,0.9201985490645285,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08187163654560006,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-06,,bae892d8-0f9e-4d43-bdcf-953c592db277,6,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020143844098351,0.0,315,45,False,False,True,False,False,False,False,False,True
3c3c1afd-45dc-4733-98ec-73229b1ea05c,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9431841406090333,0.4509018036072144,0.9150439098892708,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08140073192123647,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-07,,bae892d8-0f9e-4d43-bdcf-953c592db277,7,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020153076712756,0.0,315,45,False,False,True,False,False,False,False,False,True
70716397-e5f9-4b0a-b348-1d14fe00a57f,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9372573063560188,0.4509018036072144,0.9095074455899198,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08089494547284594,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-08,,bae892d8-0f9e-4d43-bdcf-953c592db277,8,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.702016311860828,0.0,315,45,False,False,True,False,False,False,False,False,True
6367d3a7-59f6-4b5b-bfd2-0aab8ce564d1,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9307173513182098,0.4509018036072144,0.9033982436044292,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.08033683628841502,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-09,,bae892d8-0f9e-4d43-bdcf-953c592db277,9,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020174353044362,0.0,315,45,False,False,True,False,False,False,False,False,True
896ad074-4d9d-4232-a37e-df7245ce536b,2025-07-13 15:12:56.423905,PROD-A86A1C0E,Ginebra seca,SKU-815570,SUP-E6066796,Infraestructuras Giner S.A.T.,0.9247905170651952,0.4509018036072144,0.8978617793050783,0.7566137566137566,0.667910447761194,0.7110389610389611,0.8385300668151447,0.5941200489995917,2025-08-07,2025-09-22,0.07545430866943159,0.0798310498400245,2026-05-18,BATCH-4523-47,Pasillo-8-Estante-4-Nivel-5,True,2025-11-10,,bae892d8-0f9e-4d43-bdcf-953c592db277,10,0.4,1.0,0.0,0.0,1.0,0.3451776649746192,0.0,0.7020184676434676,0.0,315,45,False,False,True,False,False,False,False,False,True
